"userId","rating","projectId"
1,4,30
1,4,5
1,4,32
1,4,7
1,5,49
1,5,33
1,4,36
1,5,51
1,5,9
1,5,16
2,4.5,46
2,4,50
2,4,14
2,3,24
2,5,19
2,4,21
2,4,32
2,5,18
2,3.5,23
2,4.5,2
3,5,21
3,0.5,21
3,0.5,15
3,0.5,31
3,0.5,38
3,0.5,36
3,3.5,50
3,0.5,3
3,5,39
3,5,22
4,5,36
4,4,16
4,3,23
4,2,4
4,4,23
4,4,28
4,4,4
4,4,17
4,1,18
4,5,15
5,5,5
5,3,14
5,5,23
5,4,43
5,4,41
5,3,16
5,3,44
5,3,23
5,3,12
5,5,43
6,4,26
6,1,20
6,5,12
6,5,42
6,4,6
6,3,2
6,3,24
6,4,36
6,3,26
6,3,8
7,1,20
7,4,50
7,2,8
7,2.5,5
7,1.5,23
7,1,27
7,4,11
7,4,8
7,4.5,11
7,5,1
8,3,18
8,3,43
8,1,44
8,5,17
8,4,45
8,3,44
8,4,19
8,3,49
8,5,26
8,5,45
9,3,45
9,5,23
9,1,8
9,4,42
9,4,40
9,1,26
9,2,24
9,1,46
9,4,16
9,1,36
10,3,51
10,3.5,1
10,4,8
10,4,15
10,2.5,50
10,3,28
10,4,1
10,5,50
10,3,11
10,3,30
11,5,48
11,3,30
11,2,5
11,5,22
11,4,27
11,4,16
11,4,5
11,5,24
11,4,35
11,4,17
12,5,18
12,3,23
12,5,26
12,3,27
12,3.5,31
12,5,18
12,5,3
12,3,39
12,5,31
12,4,47
13,4,39
13,4,18
13,5,27
13,3,36
13,4,35
13,4,22
13,3,5
13,3,51
13,4,50
13,4,31
14,4,24
14,3,25
14,3,5
14,3,49
14,1,29
14,3,16
14,3,39
14,3,6
14,4,3
14,1,41
15,3,44
15,5,13
15,5,13
15,3.5,27
15,2,14
15,4,48
15,2.5,48
15,5,3
15,3.5,52
15,4.5,7
16,4,41
16,4,9
16,4,38
16,4.5,18
16,4,7
16,4.5,32
16,3.5,41
16,3.5,2
16,3.5,36
16,1.5,44
17,3.5,4
17,4.5,44
17,4.5,51
17,4.5,31
17,4,12
17,5,6
17,3,37
17,4.5,45
17,4.5,12
17,4,40
18,4.5,52
18,2.5,7
18,3.5,51
18,3,20
18,4,4
18,4,40
18,3.5,40
18,3,50
18,2.5,46
18,4.5,39
19,2,36
19,2,9
19,3,38
19,1,38
19,3,5
19,2,20
19,2,10
19,2,25
19,2,1
19,2,23
20,3.5,47
20,3,9
20,3.5,43
20,4.5,29
20,4,16
20,2,9
20,3,38
20,4.5,10
20,3,32
20,3.5,23